TaxaNames,Mode,Mass,Superclass,Subclass,Specificclass,Pathway,Bestname
neg10127,negative,491.3025,Lipids and lipid like molecules,Bile acids alcohols and derivatives,Pentahydroxy bile acids alcohols and derivatives,Terpenoids,4 (3 7 diacetyloxy 12 hydroxy 10 13 dimethyl 2 3 4 5 6 7 8 9 11 12 14 15 16 17 tetradecahydro 1H cyclopenta+AFs-a+AF0-phenanthren 17 yl)pentanoic acid
neg10141,negative,341.0681,Phenylpropanoids and polyketides,O methylated flavonoids,O methylated flavonoids,Shikimates and Phenylpropanoids,Flavones
neg10149,negative,343.1567,Organoheterocyclic compounds,Gamma butyrolactones,Gamma butyrolactones,Terpenoids,Abietane diterpenoids
neg1015,negative,605.3855,Lipids and lipid like molecules,Triterpenoids,Triterpenoids,Terpenoids,Viroxolone
neg10170,negative,259.1193,Organic oxygen compounds,Uncertain,Uncertain,Fatty acids,13 oxo 3 6 9 12 tetraoxatetradec 1 yl acetate
neg10173,negative,447.1888,Lipids and lipid like molecules,Uncertain,Saccharolipids,Fatty acids,NA
neg10175,negative,243.0158,Lipids and lipid like molecules,Fatty acids and conjugates,Medium chain fatty acids,Fatty acids,NA
neg10194,negative,341.0689,Benzenoids,Benzenesulfonic acids and derivatives,Benzenesulfonic acids and derivatives,Polyketides,NA
neg10199,negative,493.2227,Organoheterocyclic compounds,1 benzopyrans,Chromones,Shikimates and Phenylpropanoids,Nupol 1629
neg10242,negative,313.2759,Lipids and lipid like molecules,Diterpenoids,Diterpenoids,Fatty acids,Triethylene glycol monotridecyl ether
neg10244,negative,357.0633,Phenylpropanoids and polyketides,O methylated flavonoids,3 O methylated flavonoids,Shikimates and Phenylpropanoids,Flavonols
neg10250,negative,299.057,Organoheterocyclic compounds,1 benzopyrans,Xanthones,Polyketides,4 hydroxyvertixanthone
neg10255,negative,343.0477,Organic acids and derivatives,Amino acids peptides and analogues,Alpha amino acids and derivatives,Uncertain,NA
neg10262,negative,347.0424,Organoheterocyclic compounds,Uncertain,Benzopyrans,Polyketides,viscidulin I
neg10266,negative,329.0682,Uncertain,Uncertain,Uncertain,Alkaloids,NA
neg10277,negative,175.0409,Phenylpropanoids and polyketides,Hydroxycinnamic acids and derivatives,Hydroxycinnamic acids and derivatives,Shikimates and Phenylpropanoids,ferulic acid
neg10278,negative,650.355,Organic acids and derivatives,Amino acids peptides and analogues,Oligopeptides,Amino acids and Peptides,Palmitoyl tetrapeptide
neg10286,negative,257.0459,Uncertain,Uncertain,Xanthones,Polyketides,NA
neg1029,negative,391.284,Lipids and lipid like molecules,Bile acids alcohols and derivatives,Trihydroxy bile acids alcohols and derivatives,Terpenoids,chenodeoxycholic acid
neg10291,negative,547.3288,Organic acids and derivatives,Amino acids peptides and analogues,Amino acids,Alkaloids,Cyclic peptides
neg1030,negative,355.2865,Lipids and lipid like molecules,Fatty acids and conjugates,Long chain fatty acids,Fatty acids,8Z eicosenoic acid
neg10303,negative,280.9954,Organic acids and derivatives,Carboxylic acids,Carboxylic acids,Shikimates and Phenylpropanoids,1 3 Benzenediol 4 4 dithiobis 
neg10309,negative,129.0196,Lipids and lipid like molecules,Fatty acids and conjugates,Uncertain,Fatty acids,mesaconic acid
neg1031,negative,311.2234,Lipids and lipid like molecules,Lineolic acids and derivatives,Lineolic acids and derivatives,Fatty acids,Other Octadecanoids
neg10315,negative,288.0056,Organic acids and derivatives,Amino acids peptides and analogues,L alpha amino acids,Amino acids and Peptides,NA
neg10321,negative,219.0782,Organic acids and derivatives,Amino acids peptides and analogues,Uncertain,Amino acids and Peptides,5 hydroxy L tryptophan
neg10349,negative,287.0601,Organic acids and derivatives,Amino acids peptides and analogues,Alpha amino acids,Amino acids and Peptides,NA
neg10357,negative,355.0686,Phenylpropanoids and polyketides,Hydrolyzable tannins,Hydrolyzable tannins,Shikimates and Phenylpropanoids,methyl 3 4 5 trisacetyloxybenzoate
neg10358,negative,617.3868,Lipids and lipid like molecules,Triterpenoids,Triterpenoids,Terpenoids,Lupane triterpenoids
neg10362,negative,509.2775,Lipids and lipid like molecules,Bile acids alcohols and derivatives,Bile acids alcohols and derivatives,Terpenoids,Spongiane diterpenoids
neg10364,negative,537.1779,Phenylpropanoids and polyketides,Uncertain,Depsides and depsidones,Polyketides,Depsides
neg10365,negative,331.1193,Uncertain,50 hydroxy 2 unsubstituted benzenoids,1 hydroxy 2 unsubstituted benzenoids,Polyketides,Oprea1 388716
neg10369,negative,315.1246,Benzenoids,Uncertain,Benzenoids,Shikimates and Phenylpropanoids,Linear diarylheptanoids
neg10370,negative,163.0401,Phenylpropanoids and polyketides,Hydroxycinnamic acids and derivatives,Coumaric acids and derivatives,Shikimates and Phenylpropanoids,2 4 dihydroxy 3 6 dimethylbenzoic acid
neg10371,negative,217.145,Lipids and lipid like molecules,Fatty alcohols,Fatty alcohols,Fatty acids,capric acid
neg10374,negative,217.1452,Organic acids and derivatives,Medium chain hydroxy acids and derivatives,Medium chain hydroxy acids and derivatives,Fatty acids,NA
neg10375,negative,325.0728,Benzenoids,Anthraquinones,Hydroxyanthraquinones,Polyketides,NA
neg10376,negative,317.1402,Phenylpropanoids and polyketides,Zearalenones,Zearalenones,Polyketides,Zearalenones
neg10377,negative,359.1146,Benzenoids,Benzoic acids and derivatives,o Hydroxybenzoic acid esters,Shikimates and Phenylpropanoids,4 nonanoyloxybenzenesulfonate
neg10378,negative,479.1727,Phenylpropanoids and polyketides,Uncertain,Depsides and depsidones,Polyketides,Depsides
neg10380,negative,507.2038,Organic acids and derivatives,Amino acids peptides and analogues,Amino acids and derivatives,Alkaloids,NA
neg10382,negative,353.1041,Benzenoids,Anthraquinones,Anthraquinones,Polyketides,averantin
neg10386,negative,743.5701,Lipids and lipid like molecules,Triterpenoids,Triterpenoids,Polyketides,Lactones
neg10389,negative,327.0892,Lipids and lipid like molecules,Fatty acids and conjugates,Thia fatty acids,Fatty acids,Epitope ID:143627
neg10390,negative,495.2635,Lipids and lipid like molecules,Fatty acid esters,Fatty acid esters,Terpenoids,Grayanotoxane diterpenoids
neg10391,negative,479.1725,Phenylpropanoids and polyketides,Uncertain,Depsides and depsidones,Polyketides,Depsides
neg10394,negative,497.2768,Lipids and lipid like molecules,Uncertain,Uncertain,Fatty acids,NA
neg10395,negative,551.1939,Organic oxygen compounds,Uncertain,Glycosyl compounds,Polyketides,Depsides
neg10401,negative,315.1244,Lignans neolignans and related compounds,Uncertain,Furanoid lignans,Shikimates and Phenylpropanoids,Depsides
neg10402,negative,261.1133,Lipids and lipid like molecules,Terpene lactones,Germacranolides and derivatives,Terpenoids,Germacrane sesquiterpenoids
neg10403,negative,329.1405,Benzenoids,Benzoic acids and derivatives,Uncertain,Shikimates and Phenylpropanoids,Depsides
neg10404,negative,369.0839,Organic oxygen compounds,Carbohydrates and carbohydrate conjugates,Uncertain,Shikimates and Phenylpropanoids,NA
neg10405,negative,465.1418,Organic acids and derivatives,Amino acids peptides and analogues,Amino acids and derivatives,Uncertain,3 hydroxy 2 6 bis(phenylmethoxycarbonylamino)hexanoic acid
neg10407,negative,287.0572,Lipids and lipid like molecules,Fatty acids and conjugates,Uncertain,Carbohydrates,NA
neg10417,negative,341.0887,Organic oxygen compounds,Carbohydrates and carbohydrate conjugates,Hexoses,Shikimates and Phenylpropanoids,+AFs-(2S 3R 4S 5S 6R) 3 4 5 trihydroxy 6 (hydroxymethyl)oxan 2 yl+AF0- 4 hydroxy 3 5 dimethoxybenzoate
neg10422,negative,241.0361,Uncertain,Benzoic acids and derivatives,Benzoic acids and derivatives,Shikimates and Phenylpropanoids,Ambcb5224166
neg10425,negative,235.0256,Organoheterocyclic compounds,Uncertain,Benzopyrans,Shikimates and Phenylpropanoids,ayapin
neg10431,negative,527.2888,Organic oxygen compounds,Carbohydrates and carbohydrate conjugates,O glycosyl compounds,Fatty acids,NA
neg10433,negative,657.5353,Lipids and lipid like molecules,Phosphosphingolipids,Ceramide phosphoethanolamines,Fatty acids,Ceramides
neg10442,negative,301.0731,Uncertain,Uncertain,Uncertain,Fatty acids,7 methoxy 3 11 dithiatricyclo+AFs-11.2.2.1+AF4Aew-5 9+AH0AXQ-octadeca 1(15) 5 7 9(18) 13 16 hexaene
neg10451,negative,401.2709,Lipids and lipid like molecules,Quinone and hydroquinone lipids,Vitamin E compounds,Terpenoids,Monocarbocyclic sesterterpenoids
neg10454,negative,447.2769,Lipids and lipid like molecules,Diterpenoids,Diterpenoids,Terpenoids,Ophiobolane sesterterpenoids
neg10460,negative,195.0667,Benzenoids,Benzoic acids and derivatives,o Hydroxybenzoic acid esters,Shikimates and Phenylpropanoids,atraric acid
neg10465,negative,341.105,Benzenoids,Uncertain,Benzene and substituted derivatives,Alkaloids,hyrtinadine A
neg10468,negative,295.1194,Uncertain,Terpene lactones,Terpene lactones,Terpenoids,NA
neg10471,negative,375.1464,Uncertain,Uncertain,C19 gibberellin 6 carboxylic acids,Terpenoids,Linear diarylheptanoids
neg10473,negative,419.1363,Benzenoids,Anisoles,Anisoles,Shikimates and Phenylpropanoids,NA
neg10478,negative,497.2784,Organic acids and derivatives,Hybrid peptides,Hybrid peptides,Amino acids and Peptides,tert butyl 2 +AFs-4 +AFsAWw-1 +AFs-(2 methoxyphenyl)methylamino+AF0- 1 oxopropan 2 yl+AF0-carbamoyl+AF0-piperidine 1 carbonyl+AF0-pyrrolidine 1 carboxylate
neg10481,negative,343.1572,Benzenoids,Benzenesulfonic acids and derivatives,Benzenesulfonic acids and derivatives,Uncertain,Decylbenzene sulfonate
neg10485,negative,633.2159,Lignans neolignans and related compounds,Uncertain,Lignan glycosides,Shikimates and Phenylpropanoids,Furofuranoid lignans
neg10487,negative,331.0832,Organic oxygen compounds,Uncertain,Aryl ketones,Alkaloids,5 (4 oxoquinazolin 3 yl) 1 phenylpyrazole 4 carboxylic acid
neg105,negative,745.1405,Organic acids and derivatives,Amino acids peptides and analogues,Amino acids and derivatives,Alkaloids,NA
neg10502,negative,342.0998,Benzenoids,Uncertain,Uncertain,Alkaloids,2 +AFs-3 (4 methoxyphenyl)prop 2 enoylamino+AF0-benzoic Acid
neg10514,negative,372.2765,Organic acids and derivatives,Amino acids peptides and analogues,Alpha amino acids,Fatty acids,NA
neg10517,negative,249.0411,Phenylpropanoids and polyketides,Hydroxycoumarins,7 hydroxycoumarins,Shikimates and Phenylpropanoids,(5 7 dihydroxy 4 methyl 2 oxochromen 3 yl)acetic acid
neg1052,negative,509.1467,Phenylpropanoids and polyketides,Uncertain,Depsides and depsidones,Polyketides,Depsides
neg10521,negative,315.0366,Organic oxygen compounds,Alcohols and polyols,Tertiary alcohols,Alkaloids,HC Yellow 6
neg10523,negative,457.2466,Organic acids and derivatives,Amino acids peptides and analogues,Peptides,Amino acids and Peptides,NA
neg10528,negative,373.1302,Phenylpropanoids and polyketides,Uncertain,Depsides and depsidones,Polyketides,Depsides
neg10542,negative,341.1783,Lipids and lipid like molecules,Uncertain,Lipids and lipid like molecules,Fatty acids,Spectrum5 001965
neg10550,negative,315.2184,Lipids and lipid like molecules,Fatty acids and conjugates,Long chain fatty acids,Fatty acids,9 hydroxyheptadecanedioic acid
neg10556,negative,237.0049,Benzenoids,Uncertain,Benzene and substituted derivatives,Shikimates and Phenylpropanoids,naphthalene 1 5 dithiol
neg10557,negative,257.0822,Organic oxygen compounds,Carbonyl compounds,Alkyl phenylketones,Polyketides,4 4 ethene 1 1 diyldiphenol
neg10560,negative,449.1104,Phenylpropanoids and polyketides,Hydrolyzable tannins,Hydrolyzable tannins,Shikimates and Phenylpropanoids,Simple phenolic acids
neg10561,negative,249.041,Phenylpropanoids and polyketides,Hydroxycoumarins,7 hydroxycoumarins,Shikimates and Phenylpropanoids,Oprea1 814757
neg10563,negative,495.2737,Lipids and lipid like molecules,Uncertain,Prenol lipids,Terpenoids,Cucurbitane triterpenoids
neg10571,negative,441.2515,Organic acids and derivatives,Amino acids peptides and analogues,Peptides,Amino acids and Peptides,1 butyl 3 +AFs-4 +AFsAWw-4 (butylcarbamoylamino)phenyl+AF0-methyl+AF0-phenyl+AF0-urea
neg10572,negative,281.0319,Organosulfur compounds,Aryl thioethers,Alkylarylthioethers,Shikimates and Phenylpropanoids,3 3 (Benzylidenedithio)dipropanoic acid
neg10574,negative,265.0722,Organic oxygen compounds,Uncertain,Uncertain,Shikimates and Phenylpropanoids,D Glucose 6 benzoate
neg10579,negative,377.1249,Benzenoids,Diphenylethers,Diphenylethers,Polyketides,NA
neg1059,negative,165.0411,Organic acids and derivatives,Medium chain hydroxy acids and derivatives,Medium chain hydroxy acids and derivatives,Carbohydrates,arabinonate
neg10600,negative,271.0259,Benzenoids,Anthraquinones,Hydroxyanthraquinones,Polyketides,rheoemodin
neg10609,negative,423.1312,Benzenoids,Uncertain,Uncertain,Carbohydrates,NA
neg1061,negative,567.0907,Phenylpropanoids and polyketides,Flavonoid glycosides,Flavonoid O glycosides,Shikimates and Phenylpropanoids,NA
neg10612,negative,337.0936,Organic oxygen compounds,Carbohydrates and carbohydrate conjugates,Phenolic glycosides,Shikimates and Phenylpropanoids,geniposidic acid
neg10614,negative,393.0841,Organic oxygen compounds,Ethers,Diarylethers,Polyketides,Fungal DPEs
neg10622,negative,328.1196,Organoheterocyclic compounds,Hydroquinolines,Hydroquinolines,Polyketides,2 +AFs-(4 isopropylanilino)carbonyl+AF0-benzoic acid
neg10626,negative,395.3175,Lipids and lipid like molecules,Bile acids alcohols and derivatives,Trihydroxy bile acids alcohols and derivatives,Terpenoids,Emery X 88 R
neg10629,negative,269.0825,Benzenoids,Uncertain,Benzene and substituted derivatives,Shikimates and Phenylpropanoids,Chalcone 1
neg10630,negative,523.1621,Organic oxygen compounds,Uncertain,Uncertain,Polyketides,Depsides
neg10641,negative,355.1045,Lipids and lipid like molecules,Uncertain,Uncertain,Terpenoids,shanzhiside
neg10642,negative,307.0471,Organoheterocyclic compounds,2 benzopyrans,2 benzopyrans,Shikimates and Phenylpropanoids,Chromones
neg10647,negative,337.0935,Organic oxygen compounds,Carbohydrates and carbohydrate conjugates,Phenolic glycosides,Shikimates and Phenylpropanoids,geniposidic acid
neg1065,negative,128.0355,Organic acids and derivatives,Amino acids peptides and analogues,Alpha amino acids and derivatives,Amino acids and Peptides,L glutamic acid
neg1067,negative,146.0465,Organic acids and derivatives,Amino acids peptides and analogues,Alpha amino acids,Amino acids and Peptides,L glutamic acid
neg10678,negative,417.2661,Lipids and lipid like molecules,Bile acids alcohols and derivatives,Hydroxy bile acids alcohols and derivatives,Terpenoids,NA
neg10679,negative,261.0408,Organoheterocyclic compounds,1 benzopyrans,Chromones,Polyketides,NA
neg1068,negative,417.3234,Organic acids and derivatives,Amino acids peptides and analogues,Amino acids and derivatives,Alkaloids,NA
neg10702,negative,235.0255,Organoheterocyclic compounds,Uncertain,Benzopyrans,Shikimates and Phenylpropanoids,ayapin
neg10703,negative,389.0891,Phenylpropanoids and polyketides,O methylated flavonoids,3 O methylated flavonoids,Shikimates and Phenylpropanoids,Flavonols
neg1071,negative,321.0782,Organic acids and derivatives,Amino acids peptides and analogues,N acyl alpha amino acids and derivatives,Shikimates and Phenylpropanoids,NA
neg10718,negative,417.2662,Lipids and lipid like molecules,Bile acids alcohols and derivatives,Trihydroxy bile acids alcohols and derivatives,Terpenoids,Spectrum 001203
neg10728,negative,703.3728,Lipids and lipid like molecules,Steroidal glycosides,Steroidal glycosides,Terpenoids,NA
neg1073,negative,327.0523,Benzenoids,Uncertain,Uncertain,Polyketides,damnacanthal
neg10732,negative,429.3602,Lipids and lipid like molecules,Fatty alcohols,Fatty alcohols,Fatty acids,NA
neg1075,negative,685.1175,Phenylpropanoids and polyketides,Flavonoid glycosides,Flavonoid O glycosides,Shikimates and Phenylpropanoids,Flavones
neg10754,negative,291.0517,Benzenoids,Uncertain,Uncertain,Shikimates and Phenylpropanoids,3 3 5 trihydroxybiphenyl 2 carboxylic acid
neg10767,negative,407.136,Benzenoids,Uncertain,Benzenoids,Alkaloids,NA
neg1077,negative,317.0533,Organic acids and derivatives,Uncertain,L alpha amino acids,Alkaloids,NA
neg10772,negative,321.0264,Benzenoids,Benzoic acids and derivatives,Hydroxybenzoic acid derivatives,Shikimates and Phenylpropanoids,NA
neg10774,negative,317.0682,Lipids and lipid like molecules,Uncertain,Jasmonic acids,Fatty acids,NA
neg10779,negative,379.0687,Nucleosides nucleotides and analogues,Uncertain,Pyridine nucleotides,Alkaloids,NA
neg1078,negative,272.045,Organic acids and derivatives,Phosphate esters,Phosphoethanolamines,Alkaloids,NA
neg10788,negative,488.3068,Organic acids and derivatives,Amino acids peptides and analogues,Oligopeptides,Amino acids and Peptides,Amino cyclitols
neg1079,negative,302.102,Lipids and lipid like molecules,Uncertain,Lipids and lipid like molecules,Fatty acids,3 Methoxypropylgluconamide
neg10792,negative,351.0375,Organoheterocyclic compounds,Uncertain,Benzopyrans,Polyketides,2 2 3 3 tetrahydroxy 5 5 dicarboxybiphenyl
neg10793,negative,201.0777,Uncertain,Uncertain,Benzene and substituted derivatives,Fatty acids,+AFs-(2S 3S 4R 5R) 3 4 5 6 tetrahydroxyhexan 2 yl+AF0- 2 hydroxypropanoate
neg10801,negative,379.1182,Phenylpropanoids and polyketides,Uncertain,Uncertain,Shikimates and Phenylpropanoids,Oprea1 068681
neg10804,negative,335.0423,Organic acids and derivatives,Uncertain,Uncertain,Shikimates and Phenylpropanoids,Cinnamic acids and derivatives
neg10805,negative,465.2868,Organic acids and derivatives,Amino acids peptides and analogues,Amino acids and derivatives,Uncertain,NA
neg10806,negative,335.0424,Organoheterocyclic compounds,2 benzopyrans,2 benzopyrans,Shikimates and Phenylpropanoids,Cinnamic acids and derivatives
neg10815,negative,347.0425,Phenylpropanoids and polyketides,Hydroxycinnamic acids and derivatives,Coumaric acids and derivatives,Shikimates and Phenylpropanoids,quercetin
neg10816,negative,345.0268,Organic acids and derivatives,Amino acids peptides and analogues,Alpha amino acids,Alkaloids,+AFs-(2R 3S 5R) 5 (2 4 dioxopyrimidin 1 yl) 3 hydroxyoxolan 2 yl+AF0-methyl phosphate
neg10825,negative,419.1363,Lignans neolignans and related compounds,Uncertain,Lignans neolignans and related compounds,Shikimates and Phenylpropanoids,NA
neg10840,negative,525.2715,Organic acids and derivatives,Tricarboxylic acids and derivatives,Tricarboxylic acids and derivatives,Terpenoids,NA
neg10846,negative,287.0567,Organoheterocyclic compounds,Uncertain,Benzopyrans,Shikimates and Phenylpropanoids,benzoyl 4 hydroxybenzoate
neg10856,negative,308.9901,Organic nitrogen compounds,N arylamides,N arylamides,Amino acids and Peptides,NA
neg10868,negative,415.1047,Organic 1 3 dipolar compounds,Uncertain,Nitroaromatic compounds,Alkaloids,3 (5 Nitro 2 pyridyl) 2 styryl 4(3H) quinazolinone
neg1087,negative,447.0647,Benzenoids,1 hydroxy 2 unsubstituted benzenoids,1 hydroxy 2 unsubstituted benzenoids,Shikimates and Phenylpropanoids,3 3 Benzylidenebis+AFs-4 hydroxycoumarin+AF0-
neg1088,negative,625.1506,Benzenoids,Naphthalene sulfonic acids and derivatives,2 naphthalene sulfonic acids and derivatives,Alkaloids,NA
neg1089,negative,145.0624,Organic acids and derivatives,Amino acids peptides and analogues,Alpha amino acids,Amino acids and Peptides,L glutamine
neg10898,negative,211.0983,Organic acids and derivatives,Uncertain,Uncertain,Fatty acids,NA
neg10912,negative,401.2554,Organic acids and derivatives,Tricarboxylic acids and derivatives,Tricarboxylic acids and derivatives,Fatty acids,Dicarboxylic acids
neg10914,negative,307.0109,Organic acids and derivatives,Dicarboxylic acids and derivatives,Dicarboxylic acids and derivatives,Shikimates and Phenylpropanoids,Ethene 1 2 bis(phenylsulfonyl) 
neg10921,negative,387.0588,Organic oxygen compounds,Carbohydrates and carbohydrate conjugates,O glucuronides,Shikimates and Phenylpropanoids,NA
neg10932,negative,377.125,Benzenoids,Uncertain,Uncertain,Terpenoids,NA
neg10936,negative,401.2925,Lipids and lipid like molecules,Fatty acids and conjugates,Long chain fatty acids,Fatty acids,12 acetyloxyheptadecan 2 yl acetate
neg10941,negative,503.085,Phenylpropanoids and polyketides,Flavans,Catechin gallates,Shikimates and Phenylpropanoids,Flavan 3 ols
neg10958,negative,577.2699,Organic oxygen compounds,Carbohydrates and carbohydrate conjugates,Uncertain,Terpenoids,Cholestane steroids
neg10960,negative,307.1195,Benzenoids,Uncertain,Benzenoids,Alkaloids,NA
neg10976,negative,391.1046,Phenylpropanoids and polyketides,Hydrolyzable tannins,Hydrolyzable tannins,Shikimates and Phenylpropanoids,Depsides
neg1098,negative,211.0831,Organic oxygen compounds,Carbohydrates and carbohydrate conjugates,Monosaccharides,Carbohydrates,volemitol
neg10985,negative,335.0424,Phenylpropanoids and polyketides,Hydroxycinnamic acids and derivatives,Coumaric acids and derivatives,Shikimates and Phenylpropanoids,Cinnamic acids and derivatives
neg11013,negative,198.005,Organoheterocyclic compounds,Furoic acid and derivatives,Furoic acids,Amino acids and Peptides,Pyrrole 2 3 5 tricarboxylic acid
neg11022,negative,411.1674,Phenylpropanoids and polyketides,Uncertain,Macrolides and analogues,Polyketides,NA
neg1103,negative,403.3077,Lipids and lipid like molecules,Fatty acids and conjugates,Long chain fatty acids,Fatty acids,ventosic acid
neg11030,negative,727.2791,Benzenoids,Naphthols and derivatives,Naphthols and derivatives,Polyketides,NA
neg11031,negative,447.1318,Phenylpropanoids and polyketides,Hydroxycinnamic acids and derivatives,Coumaric acids and derivatives,Alkaloids,Oprea1 533779
neg11038,negative,296.0938,Benzenoids,Uncertain,Uncertain,Alkaloids,6 (4 hydroxyanilino)naphthalen 2 ol
neg11041,negative,243.1244,Lipids and lipid like molecules,Fatty acids and conjugates,Hydroxy fatty acids,Fatty acids,5 8 12 trihydroxy 2 oxododecanoic acid
neg11084,negative,299.0571,Phenylpropanoids and polyketides,Hydroxyflavonoids,4 hydroxyflavonoids,Shikimates and Phenylpropanoids,Anthraquinones and anthrones
neg11085,negative,295.0107,Benzenoids,Uncertain,Benzene and substituted derivatives,Shikimates and Phenylpropanoids,4 4 Dithiodiphenol
neg11113,negative,517.3182,Lipids and lipid like molecules,Triterpenoids,Triterpenoids,Terpenoids,Ursane and Taraxastane triterpenoids
neg11118,negative,443.2455,Uncertain,Uncertain,Uncertain,Terpenoids,Taxane diterpenoids
neg11120,negative,389.0891,Phenylpropanoids and polyketides,O methylated flavonoids,O methylated flavonoids,Shikimates and Phenylpropanoids,Flavonols
neg11121,negative,213.0049,Benzenoids,Benzoic acids and derivatives,Gallic acids,Shikimates and Phenylpropanoids,NA
neg11138,negative,263.0929,Phenylpropanoids and polyketides,Hydroxycoumarins,Hydroxycoumarins,Shikimates and Phenylpropanoids,7 ethoxy 3 4 dimethylchromen 2 one
neg11144,negative,449.1105,Lignans neolignans and related compounds,Uncertain,Lignans neolignans and related compounds,Shikimates and Phenylpropanoids,Simple phenolic acids
neg1115,negative,315.1617,Benzenoids,Uncertain,Uncertain,Shikimates and Phenylpropanoids,Linear diarylheptanoids
neg11159,negative,269.0822,Organoheterocyclic compounds,1 benzopyrans,1 benzopyrans,Shikimates and Phenylpropanoids,NCIStruc1 000625
neg1116,negative,585.1011,Benzenoids,Uncertain,Phenol ethers,Alkaloids,NA
neg11161,negative,341.1786,Lipids and lipid like molecules,Uncertain,Fatty Acyls,Fatty acids,Spectrum5 001965
neg1117,negative,191.0204,Organic acids and derivatives,Uncertain,Uncertain,Fatty acids,citric acid
neg11171,negative,347.0426,Phenylpropanoids and polyketides,Hydroxycinnamic acids and derivatives,Coumaric acids and derivatives,Shikimates and Phenylpropanoids,quercetin
neg11176,negative,501.35,Lipids and lipid like molecules,Hydroxysteroids,Hydroxysteroids,Terpenoids,Oleanane triterpenoids
neg1118,negative,179.0568,Organic oxygen compounds,Carbohydrates and carbohydrate conjugates,Monosaccharides,Carbohydrates,glucose
neg11186,negative,529.3182,Lipids and lipid like molecules,Cucurbitacins,Cucurbitacins,Terpenoids,Methyl 3 6 7 tris(acetyloxy)cholan 24 oate
neg11187,negative,483.3121,Lipids and lipid like molecules,Triterpenoids,Triterpenoids,Terpenoids,Lupane triterpenoids
neg11189,negative,762.5061,Organic acids and derivatives,Depsipeptides,Cyclic depsipeptides,Polyketides,NA
neg1119,negative,213.114,Organic acids and derivatives,Dicarboxylic acids and derivatives,Dicarboxylic acids and derivatives,Fatty acids,9 decynoic acid
neg11190,negative,475.2716,Lipids and lipid like molecules,Hydroxysteroids,Hydroxysteroids,Terpenoids,Scalarane sesterterpenoids
neg11193,negative,452.2316,Organic acids and derivatives,Amino acids peptides and analogues,Alpha amino acids and derivatives,Amino acids and Peptides,L Tryptophan L alanyl L valyl L prolyl 
neg1120,negative,225.0626,Organic oxygen compounds,Carbohydrates and carbohydrate conjugates,Monosaccharides,Carbohydrates,glucose
neg11200,negative,461.2924,Lipids and lipid like molecules,Bile acids alcohols and derivatives,Hydroxy bile acids alcohols and derivatives,Terpenoids,3.beta. Acetoxy 5 cholenic acid
neg11212,negative,559.3296,Lipids and lipid like molecules,Triterpenoids,Triterpenoids,Terpenoids,NA
