"";"domain";"phylum";"class";"order";"family";"genus";"species";"Taxonomy";"taxon";"guid";"mbNumber";"taxonomicLevel";"trophicMode";"guild";"confidenceRanking";"growthForm";"trait";"notes";"citationSource"
"ASV12";NA;"Ascomycota";"Eurotiomycetes";"Eurotiales";"Aspergillaceae";"Penicillium";NA;"NA;Ascomycota;Eurotiomycetes;Eurotiales;Aspergillaceae;Penicillium;NA";"Eurotiales";"1CB1CE25-36B9-11D5-9548-00D0592D548C";"90472";"7";"Saprotroph";"Undefined Saprotroph";"Possible";"Microfungus";"NULL";"NULL";"Sterkenburg E, et al. 2015. New Phytologist 207:1145-1158 ((https://doi.org/10.1111/nph.13426))"
"ASV14";NA;"Ascomycota";"Eurotiomycetes";"Eurotiales";"Aspergillaceae";"Penicillium";NA;"NA;Ascomycota;Eurotiomycetes;Eurotiales;Aspergillaceae;Penicillium;NA";"Eurotiales";"1CB1CE25-36B9-11D5-9548-00D0592D548C";"90472";"7";"Saprotroph";"Undefined Saprotroph";"Possible";"Microfungus";"NULL";"NULL";"Sterkenburg E, et al. 2015. New Phytologist 207:1145-1158 ((https://doi.org/10.1111/nph.13426))"
"ASV15";NA;"Basidiomycota";"Agaricomycetes";"Polyporales";"Fomitopsidaceae";"Fomitopsis";NA;"NA;Basidiomycota;Agaricomycetes;Polyporales;Fomitopsidaceae;Fomitopsis;NA";"Fomitopsidaceae";"1CB1CD22-36B9-11D5-9548-00D0592D548C";"81772";"9";"Pathotroph-Saprotroph";"Plant Pathogen-Wood Saprotroph";"Probable";"Polyporoid";"Brown Rot";"Most species are parasitic on woody plants, causing brown rots (Cannon & Kirk 2007)";"Cannon PF, Kirk PM. 2007. Fungal Families of the World. CAB International, Cambridge (ISBN: 978-0851998275)"
"ASV16";NA;"Basidiomycota";"Agaricomycetes";"Polyporales";"Fomitopsidaceae";"Fomitopsis";NA;"NA;Basidiomycota;Agaricomycetes;Polyporales;Fomitopsidaceae;Fomitopsis;NA";"Fomitopsidaceae";"1CB1CD22-36B9-11D5-9548-00D0592D548C";"81772";"9";"Pathotroph-Saprotroph";"Plant Pathogen-Wood Saprotroph";"Probable";"Polyporoid";"Brown Rot";"Most species are parasitic on woody plants, causing brown rots (Cannon & Kirk 2007)";"Cannon PF, Kirk PM. 2007. Fungal Families of the World. CAB International, Cambridge (ISBN: 978-0851998275)"
"ASV17";NA;"Basidiomycota";"Agaricomycetes";"Polyporales";"Fomitopsidaceae";NA;NA;"NA;Basidiomycota;Agaricomycetes;Polyporales;Fomitopsidaceae;NA;NA";"Fomitopsidaceae";"1CB1CD22-36B9-11D5-9548-00D0592D548C";"81772";"9";"Pathotroph-Saprotroph";"Plant Pathogen-Wood Saprotroph";"Probable";"Polyporoid";"Brown Rot";"Most species are parasitic on woody plants, causing brown rots (Cannon & Kirk 2007)";"Cannon PF, Kirk PM. 2007. Fungal Families of the World. CAB International, Cambridge (ISBN: 978-0851998275)"
"ASV18";NA;"Basidiomycota";"Agaricomycetes";"Polyporales";"Fomitopsidaceae";"Fomitopsis";NA;"NA;Basidiomycota;Agaricomycetes;Polyporales;Fomitopsidaceae;Fomitopsis;NA";"Fomitopsidaceae";"1CB1CD22-36B9-11D5-9548-00D0592D548C";"81772";"9";"Pathotroph-Saprotroph";"Plant Pathogen-Wood Saprotroph";"Probable";"Polyporoid";"Brown Rot";"Most species are parasitic on woody plants, causing brown rots (Cannon & Kirk 2007)";"Cannon PF, Kirk PM. 2007. Fungal Families of the World. CAB International, Cambridge (ISBN: 978-0851998275)"
"ASV19";NA;"Ascomycota";"Dothideomycetes";"Mycosphaerellales";"Teratosphaeriaceae";"Devriesia";"Devriesia_sp";"NA;Ascomycota;Dothideomycetes;Mycosphaerellales;Teratosphaeriaceae;Devriesia;Devriesia_sp";"Teratosphaeriaceae";"87A3FDCC-E75C-4F2E-B987-C7579847CE32";"504465";"9";"Pathotroph-Saprotroph";"Animal Pathogen-Plant Pathogen-Undefined Saprotroph";"Probable";"NULL";"NULL";"Includes numerous saprobic, extremophilic, human opportunistic, and plant pathogenic fungi (Quaedvlieg et al. 2014)";"Quaedvlieg W, et al. 2014. Persoonia 3:31-40 ((https://doi.org/10.3767/003158514X681981))"
"ASV20";NA;"Ascomycota";"Coniocybomycetes";"Coniocybales";"Coniocybaceae";"Chaenotheca";"Chaenotheca_furfuracea";"NA;Ascomycota;Coniocybomycetes;Coniocybales;Coniocybaceae;Chaenotheca;Chaenotheca_furfuracea";"Coniocybaceae";"1CB1CCF4-36B9-11D5-9548-00D0592D548C";"80630";"9";"Symbiotroph";"Lichenized";"Highly Probable";"Thallus";"NULL";"Mostly lichenized with green algae, on dry wood and simliar substrates (Cannon & Kirk 2007)";"Cannon PF, Kirk PM. 2007. Fungal Families of the World. CAB International, Cambridge (ISBN: 978-0851998275)"
"ASV22";NA;"Ascomycota";"Eurotiomycetes";"Eurotiales";"Aspergillaceae";"Penicillium";NA;"NA;Ascomycota;Eurotiomycetes;Eurotiales;Aspergillaceae;Penicillium;NA";"Eurotiales";"1CB1CE25-36B9-11D5-9548-00D0592D548C";"90472";"7";"Saprotroph";"Undefined Saprotroph";"Possible";"Microfungus";"NULL";"NULL";"Sterkenburg E, et al. 2015. New Phytologist 207:1145-1158 ((https://doi.org/10.1111/nph.13426))"
"ASV23";NA;"Ascomycota";"Dothideomycetes";"Mycosphaerellales";"Teratosphaeriaceae";"Devriesia";"Devriesia_sp";"NA;Ascomycota;Dothideomycetes;Mycosphaerellales;Teratosphaeriaceae;Devriesia;Devriesia_sp";"Teratosphaeriaceae";"87A3FDCC-E75C-4F2E-B987-C7579847CE32";"504465";"9";"Pathotroph-Saprotroph";"Animal Pathogen-Plant Pathogen-Undefined Saprotroph";"Probable";"NULL";"NULL";"Includes numerous saprobic, extremophilic, human opportunistic, and plant pathogenic fungi (Quaedvlieg et al. 2014)";"Quaedvlieg W, et al. 2014. Persoonia 3:31-40 ((https://doi.org/10.3767/003158514X681981))"
"ASV24";NA;"Ascomycota";"Coniocybomycetes";"Coniocybales";"Coniocybaceae";"Chaenotheca";"Chaenotheca_furfuracea";"NA;Ascomycota;Coniocybomycetes;Coniocybales;Coniocybaceae;Chaenotheca;Chaenotheca_furfuracea";"Coniocybaceae";"1CB1CCF4-36B9-11D5-9548-00D0592D548C";"80630";"9";"Symbiotroph";"Lichenized";"Highly Probable";"Thallus";"NULL";"Mostly lichenized with green algae, on dry wood and simliar substrates (Cannon & Kirk 2007)";"Cannon PF, Kirk PM. 2007. Fungal Families of the World. CAB International, Cambridge (ISBN: 978-0851998275)"
"ASV25";NA;"Ascomycota";"Eurotiomycetes";"Eurotiales";"Aspergillaceae";"Penicillium";NA;"NA;Ascomycota;Eurotiomycetes;Eurotiales;Aspergillaceae;Penicillium;NA";"Eurotiales";"1CB1CE25-36B9-11D5-9548-00D0592D548C";"90472";"7";"Saprotroph";"Undefined Saprotroph";"Possible";"Microfungus";"NULL";"NULL";"Sterkenburg E, et al. 2015. New Phytologist 207:1145-1158 ((https://doi.org/10.1111/nph.13426))"
"ASV27";NA;"Ascomycota";"Eurotiomycetes";"Eurotiales";"Aspergillaceae";"Penicillium";NA;"NA;Ascomycota;Eurotiomycetes;Eurotiales;Aspergillaceae;Penicillium;NA";"Eurotiales";"1CB1CE25-36B9-11D5-9548-00D0592D548C";"90472";"7";"Saprotroph";"Undefined Saprotroph";"Possible";"Microfungus";"NULL";"NULL";"Sterkenburg E, et al. 2015. New Phytologist 207:1145-1158 ((https://doi.org/10.1111/nph.13426))"
"ASV30";NA;"Ascomycota";"Eurotiomycetes";"Eurotiales";"Aspergillaceae";"Penicillium";NA;"NA;Ascomycota;Eurotiomycetes;Eurotiales;Aspergillaceae;Penicillium;NA";"Eurotiales";"1CB1CE25-36B9-11D5-9548-00D0592D548C";"90472";"7";"Saprotroph";"Undefined Saprotroph";"Possible";"Microfungus";"NULL";"NULL";"Sterkenburg E, et al. 2015. New Phytologist 207:1145-1158 ((https://doi.org/10.1111/nph.13426))"
"ASV32";NA;"Ascomycota";NA;NA;NA;NA;NA;"NA;Ascomycota;NA;NA;NA;NA;NA";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"ASV33";NA;"Ascomycota";"Dothideomycetes";"Mycosphaerellales";"Teratosphaeriaceae";"Devriesia";"Devriesia_sp";"NA;Ascomycota;Dothideomycetes;Mycosphaerellales;Teratosphaeriaceae;Devriesia;Devriesia_sp";"Teratosphaeriaceae";"87A3FDCC-E75C-4F2E-B987-C7579847CE32";"504465";"9";"Pathotroph-Saprotroph";"Animal Pathogen-Plant Pathogen-Undefined Saprotroph";"Probable";"NULL";"NULL";"Includes numerous saprobic, extremophilic, human opportunistic, and plant pathogenic fungi (Quaedvlieg et al. 2014)";"Quaedvlieg W, et al. 2014. Persoonia 3:31-40 ((https://doi.org/10.3767/003158514X681981))"
"ASV35";NA;"Ascomycota";"Coniocybomycetes";"Coniocybales";"Coniocybaceae";"Chaenotheca";"Chaenotheca_furfuracea";"NA;Ascomycota;Coniocybomycetes;Coniocybales;Coniocybaceae;Chaenotheca;Chaenotheca_furfuracea";"Coniocybaceae";"1CB1CCF4-36B9-11D5-9548-00D0592D548C";"80630";"9";"Symbiotroph";"Lichenized";"Highly Probable";"Thallus";"NULL";"Mostly lichenized with green algae, on dry wood and simliar substrates (Cannon & Kirk 2007)";"Cannon PF, Kirk PM. 2007. Fungal Families of the World. CAB International, Cambridge (ISBN: 978-0851998275)"
"ASV41";NA;"Basidiomycota";"Agaricomycetes";"Polyporales";"Fomitopsidaceae";"Fomitopsis";NA;"NA;Basidiomycota;Agaricomycetes;Polyporales;Fomitopsidaceae;Fomitopsis;NA";"Fomitopsidaceae";"1CB1CD22-36B9-11D5-9548-00D0592D548C";"81772";"9";"Pathotroph-Saprotroph";"Plant Pathogen-Wood Saprotroph";"Probable";"Polyporoid";"Brown Rot";"Most species are parasitic on woody plants, causing brown rots (Cannon & Kirk 2007)";"Cannon PF, Kirk PM. 2007. Fungal Families of the World. CAB International, Cambridge (ISBN: 978-0851998275)"
"ASV42";NA;"Ascomycota";NA;NA;NA;NA;NA;"NA;Ascomycota;NA;NA;NA;NA;NA";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"ASV43";NA;"Ascomycota";"Dothideomycetes";NA;NA;NA;NA;"NA;Ascomycota;Dothideomycetes;NA;NA;NA;NA";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"ASV45";NA;"Ascomycota";"Eurotiomycetes";"Eurotiales";"Aspergillaceae";"Penicillium";NA;"NA;Ascomycota;Eurotiomycetes;Eurotiales;Aspergillaceae;Penicillium;NA";"Eurotiales";"1CB1CE25-36B9-11D5-9548-00D0592D548C";"90472";"7";"Saprotroph";"Undefined Saprotroph";"Possible";"Microfungus";"NULL";"NULL";"Sterkenburg E, et al. 2015. New Phytologist 207:1145-1158 ((https://doi.org/10.1111/nph.13426))"
"ASV46";NA;"Ascomycota";"Coniocybomycetes";"Coniocybales";"Coniocybaceae";"Chaenotheca";"Chaenotheca_furfuracea";"NA;Ascomycota;Coniocybomycetes;Coniocybales;Coniocybaceae;Chaenotheca;Chaenotheca_furfuracea";"Coniocybaceae";"1CB1CCF4-36B9-11D5-9548-00D0592D548C";"80630";"9";"Symbiotroph";"Lichenized";"Highly Probable";"Thallus";"NULL";"Mostly lichenized with green algae, on dry wood and simliar substrates (Cannon & Kirk 2007)";"Cannon PF, Kirk PM. 2007. Fungal Families of the World. CAB International, Cambridge (ISBN: 978-0851998275)"
"ASV48";NA;"Ascomycota";"Coniocybomycetes";"Coniocybales";"Coniocybaceae";"Chaenotheca";"Chaenotheca_furfuracea";"NA;Ascomycota;Coniocybomycetes;Coniocybales;Coniocybaceae;Chaenotheca;Chaenotheca_furfuracea";"Coniocybaceae";"1CB1CCF4-36B9-11D5-9548-00D0592D548C";"80630";"9";"Symbiotroph";"Lichenized";"Highly Probable";"Thallus";"NULL";"Mostly lichenized with green algae, on dry wood and simliar substrates (Cannon & Kirk 2007)";"Cannon PF, Kirk PM. 2007. Fungal Families of the World. CAB International, Cambridge (ISBN: 978-0851998275)"
"ASV50";NA;"Ascomycota";"Coniocybomycetes";"Coniocybales";"Coniocybaceae";"Chaenotheca";"Chaenotheca_furfuracea";"NA;Ascomycota;Coniocybomycetes;Coniocybales;Coniocybaceae;Chaenotheca;Chaenotheca_furfuracea";"Coniocybaceae";"1CB1CCF4-36B9-11D5-9548-00D0592D548C";"80630";"9";"Symbiotroph";"Lichenized";"Highly Probable";"Thallus";"NULL";"Mostly lichenized with green algae, on dry wood and simliar substrates (Cannon & Kirk 2007)";"Cannon PF, Kirk PM. 2007. Fungal Families of the World. CAB International, Cambridge (ISBN: 978-0851998275)"
"ASV51";NA;"Ascomycota";NA;NA;NA;NA;NA;"NA;Ascomycota;NA;NA;NA;NA;NA";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"ASV53";NA;"Basidiomycota";"Agaricomycetes";"Polyporales";"Fomitopsidaceae";NA;NA;"NA;Basidiomycota;Agaricomycetes;Polyporales;Fomitopsidaceae;NA;NA";"Fomitopsidaceae";"1CB1CD22-36B9-11D5-9548-00D0592D548C";"81772";"9";"Pathotroph-Saprotroph";"Plant Pathogen-Wood Saprotroph";"Probable";"Polyporoid";"Brown Rot";"Most species are parasitic on woody plants, causing brown rots (Cannon & Kirk 2007)";"Cannon PF, Kirk PM. 2007. Fungal Families of the World. CAB International, Cambridge (ISBN: 978-0851998275)"
"ASV54";NA;"Ascomycota";"Eurotiomycetes";"Eurotiales";"Aspergillaceae";"Penicillium";NA;"NA;Ascomycota;Eurotiomycetes;Eurotiales;Aspergillaceae;Penicillium;NA";"Eurotiales";"1CB1CE25-36B9-11D5-9548-00D0592D548C";"90472";"7";"Saprotroph";"Undefined Saprotroph";"Possible";"Microfungus";"NULL";"NULL";"Sterkenburg E, et al. 2015. New Phytologist 207:1145-1158 ((https://doi.org/10.1111/nph.13426))"
"ASV55";NA;"Ascomycota";"Eurotiomycetes";"Eurotiales";"Aspergillaceae";"Penicillium";NA;"NA;Ascomycota;Eurotiomycetes;Eurotiales;Aspergillaceae;Penicillium;NA";"Eurotiales";"1CB1CE25-36B9-11D5-9548-00D0592D548C";"90472";"7";"Saprotroph";"Undefined Saprotroph";"Possible";"Microfungus";"NULL";"NULL";"Sterkenburg E, et al. 2015. New Phytologist 207:1145-1158 ((https://doi.org/10.1111/nph.13426))"
"ASV56";NA;"Ascomycota";"Coniocybomycetes";"Coniocybales";"Coniocybaceae";"Chaenotheca";NA;"NA;Ascomycota;Coniocybomycetes;Coniocybales;Coniocybaceae;Chaenotheca;NA";"Coniocybaceae";"1CB1CCF4-36B9-11D5-9548-00D0592D548C";"80630";"9";"Symbiotroph";"Lichenized";"Highly Probable";"Thallus";"NULL";"Mostly lichenized with green algae, on dry wood and simliar substrates (Cannon & Kirk 2007)";"Cannon PF, Kirk PM. 2007. Fungal Families of the World. CAB International, Cambridge (ISBN: 978-0851998275)"
"ASV58";NA;"Ascomycota";"Coniocybomycetes";"Coniocybales";"Coniocybaceae";"Chaenotheca";"Chaenotheca_furfuracea";"NA;Ascomycota;Coniocybomycetes;Coniocybales;Coniocybaceae;Chaenotheca;Chaenotheca_furfuracea";"Coniocybaceae";"1CB1CCF4-36B9-11D5-9548-00D0592D548C";"80630";"9";"Symbiotroph";"Lichenized";"Highly Probable";"Thallus";"NULL";"Mostly lichenized with green algae, on dry wood and simliar substrates (Cannon & Kirk 2007)";"Cannon PF, Kirk PM. 2007. Fungal Families of the World. CAB International, Cambridge (ISBN: 978-0851998275)"
"ASV60";NA;"Ascomycota";"Coniocybomycetes";"Coniocybales";"Coniocybaceae";"Chaenotheca";NA;"NA;Ascomycota;Coniocybomycetes;Coniocybales;Coniocybaceae;Chaenotheca;NA";"Coniocybaceae";"1CB1CCF4-36B9-11D5-9548-00D0592D548C";"80630";"9";"Symbiotroph";"Lichenized";"Highly Probable";"Thallus";"NULL";"Mostly lichenized with green algae, on dry wood and simliar substrates (Cannon & Kirk 2007)";"Cannon PF, Kirk PM. 2007. Fungal Families of the World. CAB International, Cambridge (ISBN: 978-0851998275)"
"ASV62";NA;"Ascomycota";"Eurotiomycetes";"Eurotiales";"Aspergillaceae";"Penicillium";NA;"NA;Ascomycota;Eurotiomycetes;Eurotiales;Aspergillaceae;Penicillium;NA";"Eurotiales";"1CB1CE25-36B9-11D5-9548-00D0592D548C";"90472";"7";"Saprotroph";"Undefined Saprotroph";"Possible";"Microfungus";"NULL";"NULL";"Sterkenburg E, et al. 2015. New Phytologist 207:1145-1158 ((https://doi.org/10.1111/nph.13426))"
"ASV63";NA;"Ascomycota";"Coniocybomycetes";"Coniocybales";"Coniocybaceae";"Chaenotheca";"Chaenotheca_furfuracea";"NA;Ascomycota;Coniocybomycetes;Coniocybales;Coniocybaceae;Chaenotheca;Chaenotheca_furfuracea";"Coniocybaceae";"1CB1CCF4-36B9-11D5-9548-00D0592D548C";"80630";"9";"Symbiotroph";"Lichenized";"Highly Probable";"Thallus";"NULL";"Mostly lichenized with green algae, on dry wood and simliar substrates (Cannon & Kirk 2007)";"Cannon PF, Kirk PM. 2007. Fungal Families of the World. CAB International, Cambridge (ISBN: 978-0851998275)"
"ASV64";NA;"Ascomycota";"Coniocybomycetes";"Coniocybales";"Coniocybaceae";"Chaenotheca";NA;"NA;Ascomycota;Coniocybomycetes;Coniocybales;Coniocybaceae;Chaenotheca;NA";"Coniocybaceae";"1CB1CCF4-36B9-11D5-9548-00D0592D548C";"80630";"9";"Symbiotroph";"Lichenized";"Highly Probable";"Thallus";"NULL";"Mostly lichenized with green algae, on dry wood and simliar substrates (Cannon & Kirk 2007)";"Cannon PF, Kirk PM. 2007. Fungal Families of the World. CAB International, Cambridge (ISBN: 978-0851998275)"
"ASV74";NA;"Ascomycota";"Coniocybomycetes";"Coniocybales";"Coniocybaceae";"Chaenotheca";NA;"NA;Ascomycota;Coniocybomycetes;Coniocybales;Coniocybaceae;Chaenotheca;NA";"Coniocybaceae";"1CB1CCF4-36B9-11D5-9548-00D0592D548C";"80630";"9";"Symbiotroph";"Lichenized";"Highly Probable";"Thallus";"NULL";"Mostly lichenized with green algae, on dry wood and simliar substrates (Cannon & Kirk 2007)";"Cannon PF, Kirk PM. 2007. Fungal Families of the World. CAB International, Cambridge (ISBN: 978-0851998275)"
"ASV76";NA;"Ascomycota";NA;NA;NA;NA;NA;"NA;Ascomycota;NA;NA;NA;NA;NA";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"ASV77";NA;"Ascomycota";NA;NA;NA;NA;NA;"NA;Ascomycota;NA;NA;NA;NA;NA";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"ASV80";NA;"Ascomycota";"Coniocybomycetes";"Coniocybales";"Coniocybaceae";"Chaenotheca";NA;"NA;Ascomycota;Coniocybomycetes;Coniocybales;Coniocybaceae;Chaenotheca;NA";"Coniocybaceae";"1CB1CCF4-36B9-11D5-9548-00D0592D548C";"80630";"9";"Symbiotroph";"Lichenized";"Highly Probable";"Thallus";"NULL";"Mostly lichenized with green algae, on dry wood and simliar substrates (Cannon & Kirk 2007)";"Cannon PF, Kirk PM. 2007. Fungal Families of the World. CAB International, Cambridge (ISBN: 978-0851998275)"
"ASV82";NA;"Ascomycota";"Coniocybomycetes";"Coniocybales";"Coniocybaceae";"Chaenotheca";NA;"NA;Ascomycota;Coniocybomycetes;Coniocybales;Coniocybaceae;Chaenotheca;NA";"Coniocybaceae";"1CB1CCF4-36B9-11D5-9548-00D0592D548C";"80630";"9";"Symbiotroph";"Lichenized";"Highly Probable";"Thallus";"NULL";"Mostly lichenized with green algae, on dry wood and simliar substrates (Cannon & Kirk 2007)";"Cannon PF, Kirk PM. 2007. Fungal Families of the World. CAB International, Cambridge (ISBN: 978-0851998275)"
"ASV84";NA;"Ascomycota";"Eurotiomycetes";"Eurotiales";"Aspergillaceae";"Penicillium";NA;"NA;Ascomycota;Eurotiomycetes;Eurotiales;Aspergillaceae;Penicillium;NA";"Eurotiales";"1CB1CE25-36B9-11D5-9548-00D0592D548C";"90472";"7";"Saprotroph";"Undefined Saprotroph";"Possible";"Microfungus";"NULL";"NULL";"Sterkenburg E, et al. 2015. New Phytologist 207:1145-1158 ((https://doi.org/10.1111/nph.13426))"
"ASV85";NA;"Ascomycota";"Coniocybomycetes";"Coniocybales";"Coniocybaceae";"Chaenotheca";"Chaenotheca_furfuracea";"NA;Ascomycota;Coniocybomycetes;Coniocybales;Coniocybaceae;Chaenotheca;Chaenotheca_furfuracea";"Coniocybaceae";"1CB1CCF4-36B9-11D5-9548-00D0592D548C";"80630";"9";"Symbiotroph";"Lichenized";"Highly Probable";"Thallus";"NULL";"Mostly lichenized with green algae, on dry wood and simliar substrates (Cannon & Kirk 2007)";"Cannon PF, Kirk PM. 2007. Fungal Families of the World. CAB International, Cambridge (ISBN: 978-0851998275)"
"ASV86";NA;"Basidiomycota";"Agaricomycetes";"Trechisporales";"Hydnodontaceae";"Trechispora";"Trechispora_sp";"NA;Basidiomycota;Agaricomycetes;Trechisporales;Hydnodontaceae;Trechispora;Trechispora_sp";"Trechispora";"1CB1CC1A-36B9-11D5-9548-00D0592D548C";"18664";"13";"Saprotroph";"|Wood Saprotroph|";"Highly Probable";"Corticioid";"White Rot";"As white_rot (Põlme et al. 2020); Decay wood (Põlme et al. 2020)";"Gilbertson RL, Ryvarden L. 1987-1987. North American Polypores. Fungiflora, Oslo (ISBN: 978-0945345060); Rinaldi AC, et al. 2008. Fungal Diversity 33:1-45 ((http://www.fungaldiversity.org/fdp/sfdp/33-1.pdf)) (as Uncertain); Tedersoo L, et al. 2010. Mycorrhiza 20:217-263 ((https://doi.org/10.1007/s00572-009-0274-x)) (as not ECM).; Põlme S, et al. 2020. Fungal Diversity 105:1-16 ((https://doi.org/10.1007/s13225-020-00466-2))"
"ASV87";NA;"Ascomycota";"Coniocybomycetes";"Coniocybales";"Coniocybaceae";"Chaenotheca";"Chaenotheca_stemonea";"NA;Ascomycota;Coniocybomycetes;Coniocybales;Coniocybaceae;Chaenotheca;Chaenotheca_stemonea";"Coniocybaceae";"1CB1CCF4-36B9-11D5-9548-00D0592D548C";"80630";"9";"Symbiotroph";"Lichenized";"Highly Probable";"Thallus";"NULL";"Mostly lichenized with green algae, on dry wood and simliar substrates (Cannon & Kirk 2007)";"Cannon PF, Kirk PM. 2007. Fungal Families of the World. CAB International, Cambridge (ISBN: 978-0851998275)"
